Year,Month,Day,Hour,Minute,Windtemp,feuchtTemp,Speed,Direction,Precipitation,GlobalRadiation,diffuseRadiation,Gegenstrahlung,sunshineDuration,airpressure
2016,11,1,0,0,4.85,4.55,1.58,94.0,0.000,0.00,0.00,333.37,0.00,965.8
2016,11,1,0,1,4.86,4.56,1.54,104.0,0.000,0.00,0.00,333.32,0.00,965.8
2016,11,1,0,2,4.84,4.55,1.51,100.0,0.000,0.00,0.00,333.44,0.00,965.7
2016,11,1,0,3,4.82,4.54,1.38,97.0,0.000,0.00,0.00,333.12,0.00,965.8
2016,11,1,0,4,4.81,4.53,1.40,109.0,0.000,0.00,0.00,333.05,0.00,965.8
2016,11,1,0,5,4.80,4.52,1.35,100.0,0.000,0.00,0.00,333.12,0.00,965.7
2016,11,1,0,6,4.80,4.52,1.26,89.0,0.000,0.00,0.00,333.21,0.00,965.7
2016,11,1,0,7,4.82,4.54,1.14,85.0,0.000,0.00,0.00,333.01,0.00,965.7
2016,11,1,0,8,4.84,4.56,0.95,88.0,0.000,0.00,0.00,332.77,0.00,965.7
2016,11,1,0,9,4.84,4.57,0.95,95.0,0.000,0.00,0.00,332.51,0.00,965.7
2016,11,1,0,10,4.82,4.56,0.91,72.0,0.000,0.00,0.00,332.62,0.00,965.7
2016,11,1,0,11,4.82,4.55,1.16,81.0,0.000,0.00,0.00,332.47,0.00,965.7
2016,11,1,0,12,4.81,4.54,1.11,99.0,0.000,0.00,0.00,332.55,0.00,965.7
2016,11,1,0,13,4.79,4.52,1.09,90.0,0.000,0.00,0.00,332.48,0.00,965.7
2016,11,1,0,14,4.79,4.52,1.27,93.0,0.000,0.00,0.00,332.48,0.00,965.7
2016,11,1,0,15,4.79,4.52,1.16,89.0,0.000,0.00,0.00,332.45,0.00,965.6
2016,11,1,0,16,4.78,4.51,1.19,99.0,0.000,0.00,0.00,332.24,0.00,965.6
2016,11,1,0,17,4.78,4.51,1.45,93.0,0.000,0.00,0.00,332.45,0.00,965.6
2016,11,1,0,18,4.79,4.52,1.57,93.0,0.000,0.00,0.00,332.68,0.00,965.5
2016,11,1,0,19,4.79,4.53,1.41,92.0,0.000,0.00,0.00,332.63,0.00,965.5
2016,11,1,0,20,4.80,4.54,1.63,86.0,0.000,0.00,0.00,332.99,0.00,965.6
2016,11,1,0,21,4.83,4.56,2.01,100.0,0.000,0.00,0.00,333.10,0.00,965.6
2016,11,1,0,22,4.84,4.57,1.97,98.0,0.000,0.00,0.00,333.27,0.00,965.6
2016,11,1,0,23,4.85,4.58,1.88,98.0,0.000,0.00,0.00,333.14,0.00,965.6
2016,11,1,0,24,4.86,4.59,1.83,85.0,0.000,0.00,0.00,333.17,0.00,965.6
2016,11,1,0,25,4.86,4.59,1.97,102.0,0.000,0.00,0.00,333.21,0.00,965.6
2016,11,1,0,26,4.85,4.58,1.87,94.0,0.000,0.00,0.00,333.32,0.00,965.6
2016,11,1,0,27,4.85,4.57,1.66,99.0,0.000,0.00,0.00,333.20,0.00,965.6
2016,11,1,0,28,4.84,4.57,1.74,97.0,0.000,0.00,0.00,333.45,0.00,965.6
2016,11,1,0,29,4.82,4.54,1.79,95.0,0.000,0.00,0.00,333.47,0.00,965.5
2016,11,1,0,30,4.81,4.53,1.63,102.0,0.000,0.00,0.00,333.30,0.00,965.6
2016,11,1,0,31,4.81,4.52,1.54,98.0,0.000,0.00,0.00,333.31,0.00,965.5
2016,11,1,0,32,4.81,4.53,1.60,94.0,0.000,0.00,0.00,333.19,0.00,965.5
2016,11,1,0,33,4.81,4.53,1.37,98.0,0.000,0.00,0.00,333.22,0.00,965.5
2016,11,1,0,34,4.80,4.52,1.20,94.0,0.000,0.00,0.00,333.33,0.00,965.5
2016,11,1,0,35,4.79,4.51,1.22,94.0,0.000,0.00,0.00,332.94,0.00,965.5
2016,11,1,0,36,4.80,4.52,0.72,135.0,0.000,0.00,0.00,332.88,0.00,965.5
2016,11,1,0,37,4.82,4.54,0.77,92.0,0.000,0.00,0.00,332.52,0.00,965.5
2016,11,1,0,38,4.85,4.57,0.63,79.0,0.000,0.00,0.00,332.42,0.00,965.5
2016,11,1,0,39,4.85,4.58,0.68,61.0,0.000,0.00,0.00,332.18,0.00,965.5
2016,11,1,0,40,4.85,4.57,0.74,89.0,0.000,0.00,0.00,332.22,0.00,965.5
2016,11,1,0,41,4.84,4.55,0.70,108.0,0.000,0.00,0.00,332.25,0.00,965.5
2016,11,1,0,42,4.83,4.54,0.79,91.0,0.000,0.00,0.00,332.31,0.00,965.5
2016,11,1,0,43,4.83,4.54,1.05,90.0,0.000,0.00,0.00,332.41,0.00,965.5
2016,11,1,0,44,4.81,4.52,1.15,87.0,0.000,0.00,0.00,332.56,0.00,965.5
2016,11,1,0,45,4.83,4.54,1.20,98.0,0.000,0.00,0.00,332.61,0.00,965.5
2016,11,1,0,46,4.86,4.57,1.49,119.0,0.000,0.00,0.00,332.74,0.00,965.4
2016,11,1,0,47,4.90,4.61,1.41,94.0,0.000,0.00,0.00,332.71,0.00,965.5
2016,11,1,0,48,4.93,4.65,1.38,80.0,0.000,0.00,0.00,332.76,0.00,965.5
2016,11,1,0,49,4.93,4.65,1.57,97.0,0.000,0.00,0.00,333.08,0.00,965.4
2016,11,1,0,50,4.91,4.63,1.68,97.0,0.000,0.00,0.00,332.94,0.00,965.4
2016,11,1,0,51,4.88,4.59,1.01,93.0,0.000,0.00,0.00,332.74,0.00,965.4
2016,11,1,0,52,4.87,4.57,0.70,76.0,0.000,0.00,0.00,332.70,0.00,965.5
2016,11,1,0,53,4.87,4.57,1.15,87.0,0.000,0.00,0.00,332.65,0.00,965.5
2016,11,1,0,54,4.89,4.59,1.15,86.0,0.000,0.00,0.00,332.65,0.00,965.5
2016,11,1,0,55,4.89,4.61,1.08,87.0,0.000,0.00,0.00,332.56,0.00,965.5
2016,11,1,0,56,4.86,4.58,0.99,88.0,0.000,0.00,0.00,332.71,0.00,965.5
2016,11,1,0,57,4.83,4.55,1.16,90.0,0.000,0.00,0.00,332.66,0.00,965.5
2016,11,1,0,58,4.81,4.52,1.20,95.0,0.000,0.00,0.00,332.60,0.00,965.5
2016,11,1,0,59,4.80,4.50,1.21,95.0,0.000,0.00,0.00,332.54,0.00,965.5
2016,11,1,1,0,4.78,4.49,1.03,97.0,0.000,0.00,0.00,332.31,0.00,965.5
2016,11,1,1,1,4.77,4.48,0.90,72.0,0.000,0.00,0.00,332.38,0.00,965.5
2016,11,1,1,2,4.77,4.48,1.06,107.0,0.000,0.00,0.00,332.46,0.00,965.4
