Year,Month,Day,Hour,Minute,Windtemp,feuchtTemp,Speed,Direction,Precipitation,GlobalRadiation,diffuseRadiation,Gegenstrahlung,sunshineDuration,airpressure
2015,5,1,0,0,8.32,7.36,2.63,190.6,0.001,0,0,347.2,0,953.3
2015,5,1,0,1,8.33,7.38,3.71,210.4,0.001,0,0,347.35,0,953.3
2015,5,1,0,2,8.34,7.39,4.6,187.8,0.002,0,0,347.52,0,953.3
2015,5,1,0,3,8.32,7.37,3.55,168,0.001,0,0,347.54,0,953.2
2015,5,1,0,4,8.33,7.35,2.79,192,0.001,0,0,347.44,0,953.2
2015,5,1,0,5,8.35,7.38,2.22,173.6,0.003,0,0,347.48,0,953.2
2015,5,1,0,6,8.37,7.42,2.4,166.6,0.004,0,0,347.49,0,953.2
2015,5,1,0,7,8.4,7.43,2.35,141.2,0.005,0,0,347.46,0,953.2
2015,5,1,0,8,8.39,7.44,3.51,165.2,0.004,0,0,347.3,0,953.2
2015,5,1,0,9,8.37,7.4,3.13,193.4,0.004,0,0,347.29,0,953.2
2015,5,1,0,10,8.36,7.39,3.25,172.2,0.007,0,0,347.39,0,953.2
2015,5,1,0,11,8.36,7.39,2.99,142.6,0.008,0,0,347.23,0,953.2
2015,5,1,0,12,8.36,7.4,2.97,186.4,0.007,0,0,347.06,0,953.2
2015,5,1,0,13,8.35,7.4,3.34,193.4,0.007,0,0,347.16,0,953.2
2015,5,1,0,14,8.35,7.39,3.38,166.6,0.006,0,0,346.92,0,953.1
2015,5,1,0,15,8.34,7.4,2.98,176.5,0.006,0,0,347.01,0,953.1
2015,5,1,0,16,8.34,7.4,2.63,183.5,0.006,0,0,346.74,0,953.1
2015,5,1,0,17,8.34,7.4,3.62,173.6,0.007,0,0,346.76,0,953.1
2015,5,1,0,18,8.33,7.39,3.89,177.9,0.007,0,0,346.74,0,953.1
2015,5,1,0,19,8.33,7.39,3.01,176.5,0.009,0,0,346.73,0,953.1
2015,5,1,0,20,8.35,7.42,3.11,177.9,0.011,0,0,346.74,0,953.1
2015,5,1,0,21,8.34,7.44,2.51,183.5,0.007,0,0,346.74,0,953.1
2015,5,1,0,22,8.34,7.44,2.28,193.4,0.016,0,0,346.74,0,953.1
2015,5,1,0,23,8.38,7.48,3.28,187.8,0.016,0,0,346.58,0,953
2015,5,1,0,24,8.4,7.52,2.58,221.6,0.013,0,0,346.73,0,953.1
2015,5,1,0,25,8.4,7.51,2.85,151.1,0.011,0,0,346.73,0,953.1
2015,5,1,0,26,8.39,7.5,2.98,166.6,0.01,0,0,346.73,0,953
2015,5,1,0,27,8.39,7.52,2.05,177.9,0.007,0,0,346.58,0,953
2015,5,1,0,28,8.39,7.54,2.4,194.8,0.011,0,0,346.42,0,953
2015,5,1,0,29,8.4,7.54,3.22,194.8,0.008,0,0,346.54,0,953
2015,5,1,0,30,8.4,7.54,2.01,194.8,0.009,0,0,346.68,0,953
2015,5,1,0,31,8.37,7.52,2.24,177.9,0.01,0,0,346.37,0,953
2015,5,1,0,32,8.37,7.51,2.11,166.6,0.011,0,0,346.49,0,953
2015,5,1,0,33,8.37,7.52,2.82,168,0.007,0,0,346.44,0,953
2015,5,1,0,34,8.35,7.54,3.11,210.4,0.015,0,0,346.4,0,953
2015,5,1,0,35,8.35,7.51,2.73,203.3,0.011,0,0,346.23,0,953
2015,5,1,0,36,8.41,7.55,2.43,204.7,0.013,0,0,346.26,0,952.9
2015,5,1,0,37,8.42,7.56,2.6,172.2,0.017,0,0,346.18,0,952.9
2015,5,1,0,38,8.38,7.52,3.19,151.1,0.013,0,0,346.17,0,952.9
2015,5,1,0,39,8.34,7.48,2.85,194.8,0.012,0,0,346.25,0,952.9
2015,5,1,0,40,8.32,7.47,2.99,245.6,0.011,0,0,346.06,0,952.9
2015,5,1,0,41,8.31,7.46,2.15,206.1,0.009,0,0,346.05,0,952.8
2015,5,1,0,42,8.32,7.47,2.41,170.8,0.007,0,0,346.08,0,952.9
2015,5,1,0,43,8.34,7.52,2.24,165.2,0.011,0,0,345.91,0,952.8
2015,5,1,0,44,8.34,7.54,2.38,196.2,0.011,0,0,345.94,0,952.8
2015,5,1,0,45,8.32,7.53,2.94,199.1,0.01,0,0,346.06,0,952.8
2015,5,1,0,46,8.3,7.5,3.03,165.2,0.007,0,0,345.84,0,952.8
2015,5,1,0,47,8.29,7.51,4.12,189.2,0.008,0,0,345.77,0,952.8
2015,5,1,0,48,8.31,7.51,3.52,206.1,0.008,0,0,345.92,0,952.8
2015,5,1,0,49,8.28,7.48,4.17,183.5,0.009,0,0,345.71,0,952.8
2015,5,1,0,50,8.24,7.46,3.05,208.9,0.009,0,0,345.99,0,952.8
2015,5,1,0,51,8.25,7.46,2.81,203.3,0.013,0,0,345.9,0,952.8
2015,5,1,0,52,8.25,7.47,1.76,210.4,0.012,0,0,345.79,0,952.8
2015,5,1,0,53,8.26,7.48,3.28,196.2,0.011,0,0,345.88,0,952.8
2015,5,1,0,54,8.25,7.5,3.03,186.4,0.013,0,0,345.75,0,952.7
2015,5,1,0,55,8.23,7.47,3.04,179.3,0.014,0,0,345.85,0,952.8
2015,5,1,0,56,8.21,7.45,3.13,199.1,0.013,0,0,345.78,0,952.7
2015,5,1,0,57,8.19,7.43,3.44,177.9,0.012,0,0,345.77,0,952.8
2015,5,1,0,58,8.17,7.43,2.75,183.5,0.011,0,0,345.78,0,952.8
2015,5,1,0,59,8.17,7.44,2.62,221.6,0.009,0,0,345.92,0,952.7
2015,5,1,1,0,8.17,7.46,2.84,204.7,0.008,0,0,345.78,0,952.7
2015,5,1,1,1,8.21,7.51,2.96,206.1,0.009,0,0,345.91,0,952.7
2015,5,1,1,2,8.18,7.51,2.62,186.4,0.009,0,0,345.76,0,952.7
2015,5,1,1,3,8.17,7.48,2.14,199.1,0.007,0,0,345.91,0,952.7
2015,5,1,1,4,8.19,7.5,2.14,217.4,0.007,0,0,345.81,0,952.7
2015,5,1,1,5,8.19,7.51,1.91,183.5,0.008,0,0,345.85,0,952.6
2015,5,1,1,6,8.21,7.52,2.92,165.2,0.008,0,0,345.91,0,952.6
2015,5,1,1,7,8.18,7.51,3.04,203.3,0.007,0,0,345.88,0,952.6
2015,5,1,1,8,8.17,7.48,2.71,207.5,0.011,0,0,345.85,0,952.6
2015,5,1,1,9,8.17,7.48,2.97,206.1,0.01,0,0,345.73,0,952.6
2015,5,1,1,10,8.15,7.46,2.29,206.1,0.007,0,0,345.85,0,952.6
