Year,Month,Day,Hour,Minute,Windtemp,feuchtTemp,Speed,Direction,Precipitation,GlobalRadiation,diffuseRadiation,Gegenstrahlung,sunshineDuration,airpressure
2013,12,1,0,1,1.98,0.84,0.92,238.6,0,0,0,324.26,0,964.3
2013,12,1,0,2,1.98,0.82,0.88,261.2,0,0,0,324.4,0,964.3
2013,12,1,0,3,1.98,0.82,0.99,264,0,0,0,324.38,0,964.3
2013,12,1,0,4,1.99,0.82,0.91,255.5,0,0,0,324.34,0,964.4
2013,12,1,0,5,2,0.82,0.83,255.5,0,0,0,324.35,0,964.4
2013,12,1,0,6,2.01,0.82,0.95,255.5,0,0,0,324.27,0,964.4
2013,12,1,0,7,2.02,0.82,0.93,251.3,0,0,0,324.33,0,964.4
2013,12,1,0,8,2.02,0.82,0.92,244.2,0,0,0,324.45,0,964.4
2013,12,1,0,9,2.03,0.82,0.87,255.5,0,0,0,324.37,0,964.4
2013,12,1,0,10,2.04,0.83,0.87,228.7,0,0,0,324.56,0,964.5
2013,12,1,0,11,2.05,0.84,0.92,218.8,0,0,0,324.76,0,964.5
2013,12,1,0,12,2.07,0.85,0.84,223.1,0,0,0,324.82,0,964.5
2013,12,1,0,13,2.07,0.85,0.87,194.8,0,0,0,324.98,0,964.5
2013,12,1,0,14,2.08,0.84,0.94,225.9,0,0,0,325.05,0,964.5
2013,12,1,0,15,2.08,0.84,0.68,221.6,0,0,0,324.71,0,964.5
2013,12,1,0,16,2.08,0.84,0.76,151.1,0,0,0,324.81,0,964.5
2013,12,1,0,17,2.09,0.84,0.91,203.3,0,0,0,324.75,0,964.5
2013,12,1,0,18,2.09,0.84,1.01,217.4,0,0,0,324.81,0,964.5
2013,12,1,0,19,2.08,0.84,0.92,228.7,0,0,0,325.02,0,964.6
2013,12,1,0,20,2.08,0.83,0.73,238.6,0,0,0,325.01,0,964.6
2013,12,1,0,21,2.09,0.83,0.82,280.9,0,0,0,325.31,0,964.6
2013,12,1,0,22,2.09,0.83,1.16,286.6,0,0,0,325.48,0,964.6
2013,12,1,0,23,2.09,0.84,1.44,345.9,0,0,0,325.41,0,964.6
2013,12,1,0,24,2.09,0.83,1.26,307.8,0,0,0,325.46,0,964.6
2013,12,1,0,25,2.09,0.82,1.42,314.8,0,0,0,325.68,0,964.6
2013,12,1,0,26,2.08,0.81,1.28,334.6,0,0,0,325.75,0,964.6
2013,12,1,0,27,2.08,0.81,1.27,321.9,0,0,0,325.75,0,964.6
2013,12,1,0,28,2.08,0.81,1.21,345.9,0,0,0,325.87,0,964.6
2013,12,1,0,29,2.08,0.82,1.14,351.5,0,0,0,325.99,0,964.6
2013,12,1,0,30,2.08,0.82,1.13,341.6,0,0,0,326.01,0,964.6
2013,12,1,0,31,2.08,0.82,0.96,326.1,0,0,0,326.13,0,964.6
2013,12,1,0,32,2.09,0.83,1.02,303.5,0,0,0,326.16,0,964.6
2013,12,1,0,33,2.09,0.84,0.78,328.9,0,0,0,326.07,0,964.6
2013,12,1,0,34,2.1,0.84,0.71,326.1,0,0,0,326.02,0,964.6
2013,12,1,0,35,2.1,0.84,0.98,283.8,0,0,0,326.04,0,964.6
2013,12,1,0,36,2.1,0.85,0.73,249.9,0,0,0,326.07,0,964.6
2013,12,1,0,37,2.1,0.85,0.48,14.1,0,0,0,326.25,0,964.6
2013,12,1,0,38,2.11,0.85,0.53,258.4,0,0,0,326.03,0,964.6
2013,12,1,0,39,2.11,0.85,0.39,256.9,0,0,0,326.06,0,964.6
2013,12,1,0,40,2.11,0.85,0.25,289.4,0,0,0,326.02,0,964.6
2013,12,1,0,41,2.1,0.85,0.25,232.9,0,0,0,326.13,0,964.6
2013,12,1,0,42,2.1,0.84,0.43,217.4,0,0,0,326.22,0,964.6
2013,12,1,0,43,2.11,0.84,0.61,269.6,0,0,0,326.06,0,964.6
2013,12,1,0,44,2.11,0.84,0.63,256.9,0,0,0,326.04,0,964.6
2013,12,1,0,45,2.11,0.84,0.43,252.7,0,0,0,326.11,0,964.6
2013,12,1,0,46,2.11,0.83,0.26,241.4,0,0,0,326.03,0,964.6
2013,12,1,0,47,2.11,0.83,0.25,251.3,0,0,0,325.89,0,964.6
2013,12,1,0,48,2.11,0.83,0.25,241.4,0,0,0,325.81,0,964.6
2013,12,1,0,49,2.11,0.82,0.3,179.3,0,0,0,325.92,0,964.6
2013,12,1,0,50,2.11,0.82,0.45,238.6,0,0,0,325.75,0,964.6
2013,12,1,0,51,2.12,0.82,0.48,241.4,0,0,0,325.74,0,964.6
2013,12,1,0,52,2.13,0.83,0.74,249.9,0,0,0,325.76,0,964.6
2013,12,1,0,53,2.14,0.83,0.92,234.4,0,0,0,325.93,0,964.6
2013,12,1,0,54,2.15,0.84,0.92,230.1,0,0,0,325.82,0,964.6
2013,12,1,0,55,2.15,0.85,1.08,225.9,0,0,0,325.71,0,964.6
2013,12,1,0,56,2.16,0.85,1.03,187.8,0,0,0,325.86,0,964.6
2013,12,1,0,57,2.17,0.86,1.19,221.6,0,0,0,326.21,0,964.6
2013,12,1,0,58,2.18,0.87,1.14,206.1,0,0,0,326.12,0,964.6
2013,12,1,0,59,2.19,0.88,1.16,231.5,0,0,0,326.33,0,964.6
2013,12,1,1,0,2.2,0.89,1.15,221.6,0,0,0,326.56,0,964.6
2013,12,1,1,1,2.21,0.9,1.03,204.7,0,0,0,326.43,0,964.6
2013,12,1,1,2,2.22,0.9,0.78,216,0,0,0,326.42,0,964.6
2013,12,1,1,3,2.23,0.91,0.72,196.2,0,0,0,326.23,0,964.6
2013,12,1,1,4,2.24,0.91,1,172.2,0,0,0,326.44,0,964.6
2013,12,1,1,5,2.25,0.91,1.08,203.3,0,0,0,326.33,0,964.6
2013,12,1,1,6,2.27,0.92,0.76,166.6,0,0,0,326.38,0,964.6
2013,12,1,1,7,2.28,0.92,0.95,217.4,0,0,0,326.4,0,964.6
