Year,Month,Day,Hour,Minute,Windtemp,feuchtTemp,Speed,Direction,Precipitation,GlobalRadiation,diffuseRadiation,Gegenstrahlung,sunshineDuration,airpressure
2016,5,1,0,0,12.26,6.97,1.49,198,0,0,0,368.49,0,950.7
2016,5,1,0,1,12.28,6.98,2.07,222,0,0,0,368.36,0,950.8
2016,5,1,0,2,12.3,6.98,2.67,226,0,0,0,368.74,0,950.8
2016,5,1,0,3,12.31,6.97,1.84,215,0,0,0,368.85,0,950.8
2016,5,1,0,4,12.32,6.93,2.06,213,0,0,0,368.78,0,950.8
2016,5,1,0,5,12.36,7,1.94,202,0,0,0,368.89,0,950.8
2016,5,1,0,6,12.36,7.06,2.02,224,0,0,0,368.93,0,950.8
2016,5,1,0,7,12.36,7.05,1.57,217,0,0,0,368.88,0,950.8
2016,5,1,0,8,12.38,7.03,1.22,243,0,0,0,368.82,0,950.8
2016,5,1,0,9,12.4,7.07,1.27,224,0,0,0,368.88,0,950.8
2016,5,1,0,10,12.39,7.03,1.42,227,0,0,0,368.98,0,950.8
2016,5,1,0,11,12.37,6.96,1.73,228,0,0,0,368.79,0,950.8
2016,5,1,0,12,12.35,7,1.1,206,0,0,0,368.67,0,950.8
2016,5,1,0,13,12.36,7.01,1.54,208,0,0,0,368.64,0,950.8
2016,5,1,0,14,12.38,7.08,1.57,231,0,0,0,368.63,0,950.8
2016,5,1,0,15,12.37,7.03,1.49,237,0,0,0,368.6,0,950.9
2016,5,1,0,16,12.41,7.05,1.69,230,0,0,0,368.56,0,950.9
2016,5,1,0,17,12.42,7.08,1.58,215,0,0,0,368.51,0,950.9
2016,5,1,0,18,12.37,7.03,0.92,224,0,0,0,368.33,0,950.9
2016,5,1,0,19,12.3,6.93,0.83,164,0,0,0,367.95,0,950.9
2016,5,1,0,20,12.23,6.93,1.11,117,0,0,0,368.08,0,950.9
2016,5,1,0,21,12.21,6.97,0.64,65,0,0,0,367.93,0,950.9
2016,5,1,0,22,12.2,6.95,0.51,108,0,0,0,367.6,0,950.9
2016,5,1,0,23,12.2,6.91,1.1,140,0,0,0,367.78,0,950.9
2016,5,1,0,24,12.2,6.88,1.34,93,0,0,0,367.9,0,950.9
2016,5,1,0,25,12.22,6.91,1.84,150,0,0,0,367.82,0,950.9
2016,5,1,0,26,12.25,6.95,1.33,135,0,0,0,367.52,0,950.9
2016,5,1,0,27,12.27,7.01,0.85,155,0,0,0,367.63,0,950.9
2016,5,1,0,28,12.27,6.94,1.7,211,0,0,0,367.67,0,950.9
2016,5,1,0,29,12.27,6.94,1.6,208,0,0,0,367.84,0,950.9
2016,5,1,0,30,12.27,6.9,1.72,194,0,0,0,367.88,0,951
2016,5,1,0,31,12.28,6.93,1.8,214,0,0,0,367.94,0,951
2016,5,1,0,32,12.29,6.9,1.12,188,0,0,0,367.86,0,951
2016,5,1,0,33,12.29,6.93,1.27,221,0,0,0,368.09,0,951
2016,5,1,0,34,12.27,6.92,1.63,226,0,0,0,368.05,0,950.9
2016,5,1,0,35,12.27,6.92,1.4,218,0,0,0,368.2,0,950.9
2016,5,1,0,36,12.25,6.92,1.01,231,0,0,0,368,0,950.9
2016,5,1,0,37,12.23,7,1.21,239,0,0,0,367.95,0,950.9
2016,5,1,0,38,12.22,6.89,1.17,209,0,0,0,367.89,0,950.9
2016,5,1,0,39,12.21,6.89,1.4,207,0,0,0,367.87,0,950.9
2016,5,1,0,40,12.2,6.9,1.51,224,0,0,0,368.01,0,951
2016,5,1,0,41,12.2,6.92,1.29,208,0,0,0,367.92,0,951
2016,5,1,0,42,12.22,6.93,0.97,196,0,0,0,367.87,0,950.9
2016,5,1,0,43,12.21,6.93,0.69,201,0,0,0,367.77,0,950.9
2016,5,1,0,44,12.19,6.88,0.79,215,0,0,0,367.55,0,950.9
2016,5,1,0,45,12.18,6.89,0.85,225,0,0,0,367.48,0,950.9
2016,5,1,0,46,12.17,6.91,1.03,222,0,0,0,367.59,0,950.9
2016,5,1,0,47,12.17,6.9,0.93,217,0,0,0,367.41,0,950.9
2016,5,1,0,48,12.15,6.85,1.34,228,0,0,0,367.61,0,950.9
2016,5,1,0,49,12.14,6.84,1.38,222,0,0,0,367.57,0,951
2016,5,1,0,50,12.17,6.86,1.67,221,0,0,0,367.6,0,951
2016,5,1,0,51,12.15,6.84,1.87,221,0,0,0,367.65,0,951
2016,5,1,0,52,12.14,6.87,1.76,219,0,0,0,367.68,0,951
2016,5,1,0,53,12.1,6.84,1.92,240,0,0,0,367.94,0,951
2016,5,1,0,54,12.13,7,2.02,241,0,0,0,368.11,0,951.1
2016,5,1,0,55,12.14,6.88,3.43,229,0,0,0,368.49,0,951.1
2016,5,1,0,56,12.09,6.84,4.08,238,0,0,0,368.27,0,951.1
2016,5,1,0,57,11.96,6.92,3.98,251,0,0,0,367.53,0,951.1
2016,5,1,0,58,11.8,6.89,4.21,256,0,0,0,367.37,0,951.1
2016,5,1,0,59,11.61,6.91,3.54,252,0,0,0,366.62,0,951.1
2016,5,1,1,0,11.46,6.91,3.51,253,0,0,0,365.79,0,951.1
2016,5,1,1,1,11.34,6.93,3.36,267,0,0,0,365.4,0,951.2
2016,5,1,1,2,11.25,6.97,3.41,272,0,0,0,364.79,0,951.2
2016,5,1,1,3,11.17,6.97,2.77,260,0,0,0,364.35,0,951.2
2016,5,1,1,4,11.1,7.02,2.66,258,0,0,0,363.89,0,951.2
2016,5,1,1,5,11.03,7.04,2.64,260,0,0,0,363.45,0,951.2
2016,5,1,1,6,10.98,7.07,3.09,251,0,0,0,363,0,951.2
2016,5,1,1,7,10.94,7.08,2.41,231,0,0,0,362.71,0,951.2
2016,5,1,1,8,10.88,7.09,3.97,237,0,0,0,361.97,0,951.2
2016,5,1,1,9,10.8,7.11,3.07,272,0,0,0,361.52,0,951.2
2016,5,1,1,10,10.76,7.17,4.37,246,0,0,0,361.34,0,951.2
2016,5,1,1,11,10.68,7.2,5.02,264,0,0,0,360.86,0,951.2
2016,5,1,1,12,10.6,7.15,4.12,262,0,0,0,360.43,0,951.3
2016,5,1,1,13,10.53,7.17,3.21,254,0,0,0,359.9,0,951.3
2016,5,1,1,14,10.49,7.2,3.71,247,0,0,0,359.76,0,951.3
2016,5,1,1,15,10.44,7.17,3.4,240,0,0,0,359.54,0,951.3
2016,5,1,1,16,10.4,7.17,2.94,264,0,0,0,359.09,0,951.3
2016,5,1,1,17,10.4,7.2,1.65,257,0,0,0,358.66,0,951.3
2016,5,1,1,18,10.38,7.23,1.41,272,0,0,0,358.64,0,951.3
2016,5,1,1,19,10.37,7.23,2.69,249,0,0,0,358.52,0,951.4
2016,5,1,1,20,10.36,7.26,3.12,265,0,0,0,358.13,0,951.3
2016,5,1,1,21,10.35,7.27,3.5,292,0,0,0,358.26,0,951.3
2016,5,1,1,22,10.31,7.28,3.02,266,0,0,0,357.83,0,951.3
2016,5,1,1,23,10.26,7.26,1.9,258,0,0,0,357.66,0,951.4
2016,5,1,1,24,10.23,7.23,3.33,263,0,0,0,357.65,0,951.4
2016,5,1,1,25,10.19,7.24,2.23,257,0,0,0,357.39,0,951.3
2016,5,1,1,26,10.16,7.23,1.87,288,0,0,0,357.4,0,951.3
2016,5,1,1,27,10.15,7.28,2.75,259,0,0,0,357.12,0,951.3
2016,5,1,1,28,10.12,7.28,2.66,276,0,0,0,357.01,0,951.3
2016,5,1,1,29,10.11,7.29,2.9,258,0,0,0,357.02,0,951.3
2016,5,1,1,30,10.11,7.32,2.2,251,0,0,0,356.76,0,951.4
2016,5,1,1,31,10.1,7.32,4.38,268,0,0,0,356.64,0,951.4
2016,5,1,1,32,10.05,7.24,4.43,262,0,0,0,356.51,0,951.4
2016,5,1,1,33,10.01,7.2,3.89,266,0,0,0,356.39,0,951.4
2016,5,1,1,34,10.01,7.24,3.78,273,0,0,0,356.14,0,951.4
2016,5,1,1,35,10,7.28,2.25,283,0,0,0,355.98,0,951.4
2016,5,1,1,36,9.97,7.25,3.84,269,0,0,0,355.92,0,951.3
2016,5,1,1,37,9.95,7.24,4.24,260,0,0,0,355.95,0,951.3
2016,5,1,1,38,9.93,7.22,2.29,256,0,0,0,355.82,0,951.3
2016,5,1,1,39,9.9,7.22,3.22,289,0,0,0,355.48,0,951.3
2016,5,1,1,40,9.91,7.29,2.6,305,0,0,0,355.52,0,951.3
2016,5,1,1,41,9.92,7.34,3.75,292,0,0,0,355.42,0,951.3
2016,5,1,1,42,9.91,7.3,3.06,286,0,0,0,355.31,0,951.3
2016,5,1,1,43,9.9,7.29,1.47,275,0,0,0,355.06,0,951.3
2016,5,1,1,44,9.88,7.29,2.45,264,0,0,0,355.08,0,951.4
2016,5,1,1,45,9.86,7.29,2.85,266,0,0,0,355.1,0,951.4
2016,5,1,1,46,9.84,7.27,2.69,265,0,0,0,354.87,0,951.4
2016,5,1,1,47,9.82,7.26,3.85,254,0,0,0,354.94,0,951.4
2016,5,1,1,48,9.82,7.25,4.67,274,0,0,0,354.75,0,951.4
2016,5,1,1,49,9.79,7.26,4.41,272,0,0,0,354.84,0,951.4
2016,5,1,1,50,9.77,7.22,5.09,272,0,0,0,354.76,0,951.4
2016,5,1,1,51,9.77,7.24,3.84,274,0,0,0,354.71,0,951.4
2016,5,1,1,52,9.74,7.23,4.74,261,0,0,0,354.62,0,951.4
2016,5,1,1,53,9.7,7.19,4.63,261,0,0,0,354.67,0,951.5
2016,5,1,1,54,9.68,7.17,4.09,266,0,0,0,354.47,0,951.5
2016,5,1,1,55,9.66,7.19,2.97,256,0,0,0,354.26,0,951.5
2016,5,1,1,56,9.66,7.19,4.5,271,0,0,0,354.32,0,951.5
2016,5,1,1,57,9.65,7.2,3.84,258,0,0,0,354.22,0,951.4
2016,5,1,1,58,9.65,7.19,4.44,264,0,0,0,354.39,0,951.5
2016,5,1,1,59,9.62,7.18,4.15,259,0,0,0,354.28,0,951.5
2016,5,1,2,0,9.64,7.19,4.19,272,0,0,0,354.2,0,951.5
2016,5,1,2,1,9.62,7.22,2.6,277,0,0,0,353.96,0,951.5
2016,5,1,2,2,9.62,7.2,2.58,281,0,0,0,353.91,0,951.5
2016,5,1,2,3,9.63,7.23,1.8,253,0,0,0,353.51,0,951.5
2016,5,1,2,4,9.65,7.25,1.65,277,0,0,0,353.7,0,951.5
2016,5,1,2,5,9.61,7.24,3.39,266,0,0,0,353.64,0,951.5
2016,5,1,2,6,9.58,7.2,2.18,278,0,0,0,353.57,0,951.5
2016,5,1,2,7,9.57,7.21,2.06,280,0,0,0,353.73,0,951.5
2016,5,1,2,8,9.6,7.26,3.17,269,0,0,0,353.43,0,951.5
2016,5,1,2,9,9.58,7.25,4.28,259,0,0,0,353.74,0,951.5
2016,5,1,2,10,9.57,7.2,3.96,252,0,0,0,353.53,0,951.5
2016,5,1,2,11,9.55,7.18,2.88,262,0,0,0,353.6,0,951.5
2016,5,1,2,12,9.53,7.17,3.12,281,0,0,0,353.59,0,951.5
2016,5,1,2,13,9.51,7.16,2.63,271,0,0,0,353.63,0,951.5
2016,5,1,2,14,9.48,7.13,2.36,277,0,0,0,353.42,0,951.4
2016,5,1,2,15,9.5,7.2,4.19,268,0,0,0,353.5,0,951.4
2016,5,1,2,16,9.48,7.18,4.23,257,0,0,0,353.55,0,951.4
2016,5,1,2,17,9.48,7.14,4.57,259,0,0,0,353.54,0,951.4
2016,5,1,2,18,9.46,7.14,3.43,261,0,0,0,353.65,0,951.4
2016,5,1,2,19,9.46,7.14,3.65,248,0,0,0,353.66,0,951.4
2016,5,1,2,20,9.47,7.18,4.08,272,0,0,0,353.62,0,951.3
2016,5,1,2,21,9.46,7.17,5.14,268,0,0,0,353.61,0,951.4
2016,5,1,2,22,9.45,7.16,4.14,259,0,0,0,353.42,0,951.4
2016,5,1,2,23,9.46,7.17,4.6,271,0,0,0,353.53,0,951.3
2016,5,1,2,24,9.45,7.18,3.97,262,0,0,0,353.57,0,951.4
2016,5,1,2,25,9.44,7.16,3.66,269,0,0,0,353.56,0,951.4
2016,5,1,2,26,9.41,7.14,3.94,275,0,0,0,353.36,0,951.4
2016,5,1,2,27,9.38,7.13,3.69,271,0,0,0,353.36,0,951.4
2016,5,1,2,28,9.37,7.14,4.33,269,0,0,0,353.45,0,951.4
2016,5,1,2,29,9.39,7.17,3.48,261,0,0,0,353.3,0,951.4
2016,5,1,2,30,9.38,7.16,3.39,266,0,0,0,353.29,0,951.4
2016,5,1,2,31,9.36,7.15,3.46,255,0,0,0,353.26,0,951.4
2016,5,1,2,32,9.36,7.13,3.19,253,0,0,0,353.36,0,951.4
2016,5,1,2,33,9.36,7.13,3.79,271,0,0,0,353.34,0,951.4
2016,5,1,2,34,9.33,7.12,4.28,257,0,0,0,353.41,0,951.4
2016,5,1,2,35,9.34,7.12,3.5,294,0,0,0,353.18,0,951.5
2016,5,1,2,36,9.34,7.14,3.54,266,0,0,0,353.32,0,951.4
2016,5,1,2,37,9.36,7.15,2.34,271,0,0,0,353.24,0,951.5
2016,5,1,2,38,9.35,7.15,2.23,268,0,0,0,353.08,0,951.5
2016,5,1,2,39,9.34,7.13,2.64,268,0,0,0,353.03,0,951.5
2016,5,1,2,40,9.35,7.14,3.25,273,0,0,0,353,0,951.5
2016,5,1,2,41,9.32,7.13,3.65,268,0,0,0,353.12,0,951.5
2016,5,1,2,42,9.29,7.1,3.14,270,0,0,0,352.8,0,951.5
2016,5,1,2,43,9.27,7.09,4.11,275,0,0,0,353.19,0,951.5
2016,5,1,2,44,9.25,7.08,3.42,268,0,0,0,353.02,0,951.5
2016,5,1,2,45,9.24,7.09,2.54,276,0,0,0,352.87,0,951.5
2016,5,1,2,46,9.22,7.11,2.93,277,0,0,0,352.84,0,951.5
2016,5,1,2,47,9.24,7.12,2.7,301,0,0,0,352.67,0,951.5
2016,5,1,2,48,9.27,7.13,2.38,272,0,0,0,352.69,0,951.5
2016,5,1,2,49,9.27,7.13,2.4,293,0,0,0,352.66,0,951.5
2016,5,1,2,50,9.29,7.14,3.46,290,0,0,0,352.62,0,951.5
2016,5,1,2,51,9.3,7.17,3.17,277,0,0,0,352.57,0,951.6
2016,5,1,2,52,9.26,7.1,3.71,247,0,0,0,352.64,0,951.6
2016,5,1,2,53,9.25,7.04,3.6,238,0,0,0,352.49,0,951.6
2016,5,1,2,54,9.23,7.05,2.16,262,0,0,0,352.42,0,951.6
2016,5,1,2,55,9.22,7.04,1.45,279,0,0,0,352.46,0,951.6
2016,5,1,2,56,9.2,7.03,3.09,271,0,0,0,352.45,0,951.6
2016,5,1,2,57,9.19,7.05,2.87,261,0,0,0,352.37,0,951.6
2016,5,1,2,58,9.17,7.05,3.41,260,0,0,0,352.37,0,951.6
2016,5,1,2,59,9.2,7.04,2.95,266,0,0,0,352.18,0,951.6
