JJJJ MM DD HH MM T2m T30m TF2m TF30m V DIR N GLOB DIFF SON P
2018 12 1 0 57 5.06 4.94 5.06 4.94 2.27 258.0 0.002 0.00 0.00 0.00 956.7
2018 12 1 0 58 5.07 4.95 5.07 4.95 2.42 264.0 0.003 0.00 0.00 0.00 956.7
2018 12 1 0 59 5.06 4.94 5.06 4.94 3.61 266.0 0.001 0.00 0.00 0.00 956.7
2018 12 1 1 0 5.07 4.94 5.07 4.94 2.82 259.0 0.001 0.00 0.00 0.00 956.7
2018 12 1 1 1 5.06 4.94 5.05 4.94 2.22 261.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 2 5.05 4.94 5.03 4.94 2.17 264.0 0.001 0.00 0.00 0.00 956.7
2018 12 1 1 3 5.05 4.93 5.03 4.93 2.22 268.0 0.001 0.00 0.00 0.00 956.7
2018 12 1 1 4 5.04 4.92 5.03 4.92 3.57 258.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 5 5.04 4.92 5.04 4.92 3.98 261.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 6 5.04 4.92 5.03 4.92 3.61 258.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 7 5.05 4.92 5.04 4.92 2.85 257.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 8 5.03 4.92 5.03 4.92 3.82 256.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 9 5.04 4.92 5.03 4.92 3.30 255.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 10 5.03 4.92 5.03 4.92 3.80 263.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 11 5.04 4.92 5.03 4.92 4.08 262.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 12 5.03 4.93 5.01 4.93 2.90 262.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 13 5.03 4.92 5.01 4.92 3.34 265.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 14 5.04 4.92 5.01 4.92 3.29 264.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 15 5.02 4.91 4.98 4.91 3.16 258.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 16 5.01 4.91 4.98 4.91 2.57 268.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 17 5.00 4.91 4.98 4.91 3.86 262.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 18 4.99 4.91 4.97 4.91 3.52 266.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 19 4.99 4.91 4.97 4.91 3.06 271.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 20 5.01 4.91 4.99 4.91 3.47 266.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 21 5.01 4.91 4.99 4.91 3.47 266.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 22 5.00 4.92 4.99 4.92 2.56 265.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 23 5.01 4.93 4.99 4.93 2.86 261.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 24 5.01 4.93 4.99 4.93 2.99 265.0 0.000 0.00 0.00 0.00 956.7
2018 12 1 1 25 5.02 4.94 5.00 4.94 2.67 265.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 26 5.02 4.93 4.99 4.93 3.29 274.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 27 5.02 4.93 4.99 4.93 3.60 268.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 28 5.02 4.93 4.99 4.93 3.97 267.0 0.000 0.00 0.00 0.00 956.8
