Year,Month,Day,Hour,Minute,Windtemp,feuchtTemp,Speed,Direction,Precipitation,GlobalRadiation,diffuseRadiation,Gegenstrahlung,sunshineDuration,airpressure
2016,12,1,0,0,3.76,2.1,2.35,283,0,0,0,335.77,0,968
2016,12,1,0,1,3.76,2.09,2.21,283,0,0,0,335.75,0,968
2016,12,1,0,2,3.76,2.09,1.98,316,0,0,0,335.63,0,968.1
2016,12,1,0,3,3.77,2.09,1.56,319,0,0,0,335.77,0,968.2
2016,12,1,0,4,3.77,2.1,1.97,292,0,0,0,335.63,0,968.2
2016,12,1,0,5,3.77,2.1,2.9,308,0,0,0,335.57,0,968.3
2016,12,1,0,6,3.77,2.09,2.06,312,0,0,0,335.79,0,968.3
2016,12,1,0,7,3.78,2.1,1.35,304,0,0,0,335.98,0,968.3
2016,12,1,0,8,3.78,2.1,1.94,317,0,0,0,335.89,0,968.3
2016,12,1,0,9,3.78,2.1,2.65,307,0,0,0,335.77,0,968.3
2016,12,1,0,10,3.78,2.09,3.35,298,0,0,0,335.92,0,968.4
2016,12,1,0,11,3.78,2.09,2.49,305,0,0,0,335.87,0,968.4
2016,12,1,0,12,3.77,2.09,1.79,310,0,0,0,336.02,0,968.4
2016,12,1,0,13,3.76,2.06,1.96,324,0,0,0,336.09,0,968.4
2016,12,1,0,14,3.75,2.06,1.49,317,0,0,0,335.99,0,968.4
2016,12,1,0,15,3.75,2.05,2.44,298,0,0,0,335.99,0,968.4
2016,12,1,0,16,3.74,2.04,2.17,300,0,0,0,336.03,0,968.4
2016,12,1,0,17,3.74,2.03,2.19,295,0,0,0,336.07,0,968.4
2016,12,1,0,18,3.74,2.03,3.15,334,0,0,0,336.07,0,968.4
2016,12,1,0,19,3.72,2.01,1.83,321,0,0,0,336.03,0,968.4
2016,12,1,0,20,3.71,2.01,2.57,304,0,0,0,335.88,0,968.4
2016,12,1,0,21,3.71,2.01,2.18,292,0,0,0,335.97,0,968.4
2016,12,1,0,22,3.71,2.01,1.47,301,0,0,0,335.77,0,968.4
2016,12,1,0,23,3.71,2.01,2.1,306,0,0,0,335.57,0,968.5
2016,12,1,0,24,3.68,1.99,2.31,316,0,0,0,335.78,0,968.5
2016,12,1,0,25,3.67,1.98,1.59,310,0,0,0,335.61,0,968.5
2016,12,1,0,26,3.66,1.97,1.48,325,0,0,0,335.56,0,968.5
2016,12,1,0,27,3.65,1.97,3.35,314,0,0,0,335.72,0,968.4
2016,12,1,0,28,3.64,1.96,2.49,320,0,0,0,335.39,0,968.4
2016,12,1,0,29,3.63,1.95,2.45,301,0,0,0,335.45,0,968.4
2016,12,1,0,30,3.62,1.95,2.21,296,0,0,0,335.28,0,968.4
2016,12,1,0,31,3.61,1.94,1.58,296,0,0,0,335.18,0,968.4
2016,12,1,0,32,3.6,1.88,2.45,309,0,0,0,335.14,0,968.4
2016,12,1,0,33,3.58,1.87,1.76,312,0,0,0,335.01,0,968.4
2016,12,1,0,34,3.58,1.87,2.21,303,0,0,0,334.95,0,968.4
2016,12,1,0,35,3.57,1.87,2.53,322,0,0,0,335.13,0,968.5
2016,12,1,0,36,3.57,1.86,2.26,302,0,0,0,335.12,0,968.5
2016,12,1,0,37,3.56,1.86,1.49,315,0,0,0,335.1,0,968.5
2016,12,1,0,38,3.55,1.86,2.16,325,0,0,0,335.06,0,968.5
2016,12,1,0,39,3.54,1.85,2.46,325,0,0,0,335.03,0,968.6
2016,12,1,0,40,3.54,1.9,3.46,318,0,0,0,334.97,0,968.6
