Year,Month,Day,Hour,Minute,Windtemp,feuchtTemp,Speed,Direction,Precipitation,GlobalRadiation,diffuseRadiation,Gegenstrahlung,sunshineDuration,airpressure
2016,7,1,0,0,17.4,15.79,2.65,216,0,0,0,396.18,0,959.2
2016,7,1,0,1,17.41,15.77,2.4,215,0,0,0,396.09,0,959.2
2016,7,1,0,2,17.39,15.76,2.94,214,0,0,0,395.97,0,959.2
2016,7,1,0,3,17.38,15.74,3.31,224,0,0,0,396.32,0,959.2
2016,7,1,0,4,17.38,15.78,2.74,227,0,0,0,396.35,0,959.2
2016,7,1,0,5,17.36,15.74,2.76,208,0,0,0,396.69,0,959.2
2016,7,1,0,6,17.34,15.71,2.86,208,0,0,0,396.52,0,959.1
2016,7,1,0,7,17.34,15.61,2.96,199,0,0,0,396.53,0,959.1
2016,7,1,0,8,17.32,15.55,2.69,193,0,0,0,396.66,0,959.1
2016,7,1,0,9,17.31,15.55,2.9,204,0,0,0,396.68,0,959
2016,7,1,0,10,17.3,15.57,2.97,214,0,0,0,396.68,0,959
2016,7,1,0,11,17.31,15.6,2.54,211,0,0,0,396.68,0,959
2016,7,1,0,12,17.3,15.54,1.91,200,0,0,0,396.66,0,959.1
2016,7,1,0,13,17.29,15.56,2.36,218,0,0,0,396.79,0,959
2016,7,1,0,14,17.3,15.61,2.76,210,0,0,0,396.8,0,959
2016,7,1,0,15,17.29,15.58,2.67,191,0,0,0,396.8,0,959
2016,7,1,0,16,17.27,15.51,2.71,198,0,0,0,396.8,0,959
2016,7,1,0,17,17.28,15.5,2.93,207,0,0,0,396.92,0,959
2016,7,1,0,18,17.26,15.49,2.76,204,0,0,0,397.06,0,959
2016,7,1,0,19,17.25,15.47,2.85,207,0,0,0,396.88,0,959
2016,7,1,0,20,17.22,15.45,3.03,209,0,0,0,396.73,0,959
2016,7,1,0,21,17.22,15.43,2.92,209,0,0,0,396.96,0,959
2016,7,1,0,22,17.21,15.44,3.05,194,0,0,0,396.92,0,959
2016,7,1,0,23,17.19,15.43,2.72,217,0,0,0,396.89,0,959
2016,7,1,0,24,17.19,15.45,2.83,201,0,0,0,396.72,0,959
2016,7,1,0,25,17.19,15.46,2.85,208,0,0,0,396.82,0,959
2016,7,1,0,26,17.17,15.43,2.06,218,0,0,0,396.79,0,959
2016,7,1,0,27,17.16,15.39,2.2,202,0,0,0,396.72,0,959
2016,7,1,0,28,17.16,15.38,2.54,198,0,0,0,396.65,0,959
2016,7,1,0,29,17.16,15.38,3.12,209,0,0,0,396.58,0,959
2016,7,1,0,30,17.14,15.38,3.07,215,0,0,0,396.68,0,959
2016,7,1,0,31,17.12,15.39,2.86,211,0,0,0,396.48,0,959
2016,7,1,0,32,17.1,15.37,3.58,217,0,0,0,396.74,0,959.1
2016,7,1,0,33,17.09,15.35,3.47,215,0,0,0,396.83,0,959.1
2016,7,1,0,34,17.08,15.38,2.87,223,0,0,0,396.8,0,959.1
2016,7,1,0,35,17.07,15.37,2.33,198,0,0,0,396.67,0,959.1
2016,7,1,0,36,17.08,15.38,2.15,192,0,0,0,396.32,0,959
2016,7,1,0,37,17.07,15.41,3.71,228,0,0,0,396.53,0,959
2016,7,1,0,38,17.08,15.4,2.62,221,0,0,0,396.61,0,959
2016,7,1,0,39,17.1,15.42,2.72,226,0,0,0,396.26,0,959.1
2016,7,1,0,40,17.09,15.41,2.88,227,0,0,0,396.32,0,959
2016,7,1,0,41,17.08,15.37,2.46,214,0,0,0,396.21,0,959
2016,7,1,0,42,17.07,15.35,2.38,206,0,0,0,396.38,0,959
2016,7,1,0,43,17.07,15.38,2.1,229,0,0,0,396.27,0,959
2016,7,1,0,44,17.06,15.39,2.49,213,0,0,0,396.14,0,959
2016,7,1,0,45,17.03,15.35,1.79,213,0,0,0,396.03,0,959
2016,7,1,0,46,17.02,15.38,2.9,214,0,0,0,395.92,0,959
2016,7,1,0,47,16.98,15.32,2.27,201,0,0,0,395.8,0,959
2016,7,1,0,48,16.96,15.31,2.2,206,0,0,0,395.54,0,959
2016,7,1,0,49,16.95,15.28,2.3,208,0,0,0,395.71,0,958.9
2016,7,1,0,50,16.95,15.28,2.61,198,0,0,0,395.64,0,958.9
2016,7,1,0,51,16.95,15.3,2.63,201,0,0,0,395.57,0,958.9
2016,7,1,0,52,16.94,15.29,2.36,218,0,0,0,395.67,0,958.9
2016,7,1,0,53,16.93,15.28,2.08,201,0,0,0,395.57,0,958.9
2016,7,1,0,54,16.96,15.33,1.59,212,0,0,0,395.46,0,958.9
2016,7,1,0,55,16.95,15.31,1.62,204,0,0,0,395.19,0,958.9
2016,7,1,0,56,16.94,15.31,2.22,218,0,0,0,395.42,0,958.9
2016,7,1,0,57,16.93,15.3,1.5,216,0,0,0,395,0,958.9
2016,7,1,0,58,16.94,15.31,1.98,221,0,0,0,395.02,0,958.9
2016,7,1,0,59,16.96,15.35,1.71,221,0,0,0,394.91,0,958.9
2016,7,1,1,0,16.96,15.34,1.66,212,0,0,0,394.66,0,958.8
2016,7,1,1,1,16.94,15.32,1.62,203,0,0,0,394.67,0,958.8
2016,7,1,1,2,16.95,15.32,1.68,197,0,0,0,394.43,0,958.8
2016,7,1,1,3,16.93,15.34,2.37,225,0,0,0,394.56,0,958.8
